,0.797752808988764
0,0.797752808988764
1,0.7640449438202247
2,0.7640449438202247
3,0.797752808988764
4,0.7640449438202247
5,0.7640449438202247
6,0.797752808988764
7,0.7865168539325843
8,0.7640449438202247
9,0.7865168539325843
10,0.7640449438202247
11,0.797752808988764
12,0.797752808988764
13,0.7865168539325843
14,0.797752808988764
15,0.7640449438202247
16,0.797752808988764
17,0.797752808988764
18,0.7640449438202247
19,0.7640449438202247
20,0.7640449438202247
21,0.797752808988764
22,0.7640449438202247
23,0.797752808988764
24,0.7827715355805244
25,0.7640449438202247
26,0.7640449438202247
27,0.7640449438202247
28,0.7640449438202247
29,0.7640449438202247
30,0.797752808988764
31,0.7790262172284644
32,0.797752808988764
33,0.797752808988764
34,0.8014981273408239
35,0.8014981273408239
36,0.8014981273408239
37,0.8014981273408239
38,0.8014981273408239
39,0.8014981273408239
40,0.8014981273408239
41,0.8014981273408239
42,0.8014981273408239
43,0.8014981273408239
44,0.8014981273408239
45,0.8014981273408239
46,0.8014981273408239
47,0.8014981273408239
48,0.8014981273408239
49,0.8014981273408239
50,0.797752808988764
51,0.8014981273408239
52,0.8014981273408239
53,0.8014981273408239
54,0.8014981273408239
55,0.8014981273408239
56,0.8014981273408239
57,0.8014981273408239
58,0.8014981273408239
59,0.8014981273408239
60,0.8014981273408239
61,0.8014981273408239
62,0.8014981273408239
63,0.8014981273408239
64,0.8014981273408239
65,0.8014981273408239
66,0.8014981273408239
67,0.8014981273408239
68,0.8014981273408239
69,0.8014981273408239
70,0.8014981273408239
71,0.8014981273408239
72,0.8014981273408239
73,0.8014981273408239
74,0.8014981273408239
75,0.8014981273408239
76,0.8014981273408239
77,0.8014981273408239
78,0.8014981273408239
79,0.8014981273408239
80,0.8014981273408239
81,0.8014981273408239
82,0.8014981273408239
83,0.8014981273408239
84,0.8014981273408239
85,0.8014981273408239
86,0.8014981273408239
87,0.8014981273408239
88,0.8014981273408239
89,0.8014981273408239
90,0.8014981273408239
91,0.8014981273408239
92,0.8014981273408239
93,0.8014981273408239
94,0.8014981273408239
95,0.8014981273408239
96,0.8014981273408239
97,0.8014981273408239
98,0.7865168539325843
99,0.8014981273408239
100,0.8014981273408239
101,0.8014981273408239
102,0.8014981273408239
103,0.8014981273408239
104,0.8014981273408239
105,0.8014981273408239
106,0.8014981273408239
107,0.8014981273408239
108,0.8014981273408239
109,0.8014981273408239
110,0.8014981273408239
111,0.8014981273408239
112,0.8014981273408239
113,0.8014981273408239
114,0.8014981273408239
115,0.8014981273408239
116,0.8014981273408239
117,0.8014981273408239
118,0.8014981273408239
119,0.8014981273408239
120,0.8014981273408239
121,0.8014981273408239
122,0.8014981273408239
123,0.8014981273408239
124,0.8014981273408239
125,0.8014981273408239
126,0.8014981273408239
127,0.8014981273408239
128,0.8014981273408239
129,0.8014981273408239
130,0.8014981273408239
131,0.8014981273408239
132,0.8014981273408239
133,0.8014981273408239
134,0.8014981273408239
135,0.8014981273408239
136,0.8014981273408239
137,0.8014981273408239
138,0.8014981273408239
139,0.8014981273408239
140,0.8014981273408239
141,0.8014981273408239
142,0.8014981273408239
143,0.8014981273408239
144,0.8014981273408239
